2025-01-27 19:44:33,065 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('Kafka is awesome.', 'Diana'). Skipping.
2025-01-27 19:44:33,065 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('Kafka is awesome.', 'Alice'). Skipping.
2025-01-27 19:44:33,065 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('JSON makes life easier.', 'Bob'). Skipping.
2025-01-27 19:44:33,065 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('This is a buzz message.', 'Bob'). Skipping.
2025-01-27 19:44:33,065 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('Streaming data is fun.', 'Diana'). Skipping.
2025-01-27 19:44:33,065 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('Have a great day!', 'Bob'). Skipping.
2025-01-27 19:44:33,065 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('This is a buzz message.', 'Eve'). Skipping.
2025-01-27 19:44:33,065 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('Hello, Kafka world!', 'Bob'). Skipping.
2025-01-27 19:44:33,065 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('This is a buzz message.', 'Alice'). Skipping.
2025-01-27 19:44:33,065 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('Streaming data is fun.', 'Eve'). Skipping.
2025-01-27 19:44:33,065 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('Kafka is awesome.', 'Alice'). Skipping.
2025-01-27 19:44:33,065 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('JSON makes life easier.', 'Bob'). Skipping.
2025-01-27 19:44:33,065 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('This is a buzz message.', 'Charlie'). Skipping.
2025-01-27 19:44:33,065 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('Have a great day!', 'Diana'). Skipping.
